排名,种类,书名,作者,月票数量
1,都市,万族之劫,老鹰吃小鸡,246659
2,仙侠,大梦主,忘语,138784
3,仙侠,大奉打更人,卖报小郎君,128689
4,玄幻,长夜余火,爱潜水的乌贼,85300
5,都市,全职艺术家,我最白,74360
6,玄幻,白骨大圣,咬火,61424
7,轻小说,轮回乐园,那一只蚊子,49225
8,玄幻,我的徒弟都是大反派,谋生任转蓬,42899
9,都市,我真没想重生啊,柳岸花又明,37623
10,悬疑,魔临,纯洁滴小龙,31510
11,科幻,黎明之剑,远瞳,29175
12,玄幻,十方武圣,滚开,28717
13,历史,绍宋,榴弹怕水,27177
14,历史,东晋北府一丘八,指云笑天道1,27072
15,玄幻,左道倾天,风凌天下,26517
16,历史,神话版三国,坟土荒草,26387
17,都市,我只会拍烂片啊,巫马行,24447
18,游戏,亏成首富从游戏开始,青衫取醉,23767
19,轻小说,没钱上大学的我只能去屠龙,宇宙无敌水哥,21957
20,体育,禁区之狐,林海听涛,19279
21,轻小说,掌门低调点,幼儿园一把手,17705
22,历史,红楼春,屋外风吹凉,17624
23,轻小说,精灵掌门人,轻泉流响,17624
24,历史,赘婿,愤怒的香蕉,17324
25,玄幻,临渊行,宅猪,17189
26,历史,明天下,孑与2,15975
27,都市,稳住别浪,跳舞,15882
28,轻小说,我在东京教剑道,范马加藤惠,15745
29,玄幻,开局签到如来神掌,回到原初,15670
30,科幻,港综世界大枭雄,萌俊,15538
31,科幻,在港综成为传说,凤嘲凰,15183
32,科幻,九星之主,育,14368
33,玄幻,沧元图,我吃西红柿,14319
34,玄幻,旧日之箓,熊狼狗,14222
35,仙侠,烂柯棋缘,真费事,13957
36,都市,重生过去震八方,锋临天下,13680
37,科幻,玩家凶猛,黑灯夏火,13365
38,玄幻,圣墟,辰东,13273
39,轻小说,我加载了恋爱游戏,掠过的乌鸦,13092
40,都市,朕只是一个演员,平层,12858
41,历史,大唐扫把星,迪巴拉爵士,12603
42,奇幻,天启预报,风月,12594
43,仙侠,剑卒过河,惰堕,12494
44,仙侠,御九天,骷髅精灵,12392
45,都市,颠覆了这是皇帝聊天群,黑血粉,12383
46,仙侠,神秘复苏,佛前献花,12381
47,都市,我的1978小农庄,名窑,12310
48,轻小说,我真没想当训练家啊,北川南海,12219
49,仙侠,我不可能是剑神,裴不了,11994
50,轻小说,怪物被杀就会死,阴天神隐,11581
51,玄幻,万古神帝,飞天鱼,11180
52,体育,我真的只是想打铁,静悄悄地写,10790
53,都市,我只想自力更生,中秋月明,10777
54,仙侠,大数据修仙,陈风笑,10585
55,仙侠,大周仙吏,荣小荣,10260
56,都市,户外直播间,昙花落,9914
57,科幻,赛博英雄传,吾道长不孤,9875
58,悬疑,诡异流修仙游戏,我也很绝望,9828
59,轻小说,芝加哥1990,齐可休,9498
60,游戏,文明之万界领主,飞翔de懒猫,9472
61,轻小说,从火影开始做幕后黑手,浓墨浇书,9434
62,历史,梦回大明春,王梓钧,9358
63,轻小说,只想退休的我被迫成了大将,咸鱼军头,9172
64,都市,信息全知者,魔性沧月,9159
65,玄幻,斗罗大陆IV终极斗罗,唐家三少,9074
66,历史,小阁老,三戒大师,8937
67,历史,朕又不想当皇帝,争斤论两花花帽,8698
68,轻小说,柯南之我不是蛇精病,烟火酒颂,8665
69,玄幻,诡秘之主,爱潜水的乌贼,8644
70,历史,数风流人物,瑞根,8251
71,历史,新书,七月新番,8055
72,历史,唐朝贵公子,上山打老虎额,8051
73,都市,从1983开始,睡觉会变白,7998
74,玄幻,孙猴子是我师弟,汉宝,7983
75,玄幻,有请小师叔,横扫天涯,7864
76,轻小说,世界树的游戏,咯嘣,7864
77,武侠,金刚不坏大寨主,徍男,7638
78,都市,穹顶之上,人间武库,7597
79,科幻,从红月开始,黑山老鬼,7510
80,玄幻,最初进化,卷土,7496
81,游戏,我快亏成麻瓜了,江公子阿宝,7479
82,游戏,斯坦索姆神豪,余云飞,7432
83,科幻,从姑获鸟开始,活儿该,7430
84,玄幻,伏天氏,净无痕,7413
85,轻小说,我在决斗都市玩卡牌,名称被占用,7209
86,仙侠,玄浑道章,误道者,7152
87,仙侠,这是我的星球,姬叉,6886
88,游戏,法爷永远是你大爷,翔炎,6878
89,轻小说,我家老婆来自一千年前,花还没开,6808
90,仙侠,妖女哪里逃,开荒,6641
91,悬疑,妖魔哪里走,全金属弹壳,6563
92,玄幻,超神宠兽店,古羲,6533
93,体育,我真的是个内线,葛洛夫街兄弟,6494
94,都市,学霸的日本女友,转角吻猪,6439
95,仙侠,太乙,雾外江山,6429
96,轻小说,玩家超正义,不祈十弦,6363
97,游戏,我能提取熟练度,云东流,6324
98,游戏,什么叫游走型中单啊,这很科学啊,6300
99,仙侠,我师兄实在太稳健了,言归正传,6298
100,玄幻,众神世界,永恒之火,6259
1,仙侠,大奉打更人,卖报小郎君,127909
2,都市,稳住别浪,跳舞,48181
3,轻小说,轮回乐园,那一只蚊子,40591
4,都市,万族之劫,老鹰吃小鸡,38743
5,都市,全职艺术家,我最白,32885
6,都市,我真没想重生啊,柳岸花又明,28619
7,玄幻,长夜余火,爱潜水的乌贼,27435
8,科幻,从红月开始,黑山老鬼,26569
9,悬疑,魔临,纯洁滴小龙,25211
10,历史,赘婿,愤怒的香蕉,24108
11,轻小说,我加载了恋爱游戏,掠过的乌鸦,24047
12,玄幻,我真的是正派,白驹易逝,22711
13,仙侠,赤心巡天,情何以甚,21894
14,科幻,黎明之剑,远瞳,21270
15,玄幻,十方武圣,滚开,21116
16,历史,神话版三国,坟土荒草,20975
17,仙侠,大梦主,忘语,20327
18,仙侠,剑卒过河,惰堕,18885
19,历史,绍宋,榴弹怕水,18530
20,仙侠,这个人仙太过正经,言归正传,16210
21,游戏,亏成首富从游戏开始,青衫取醉,16159
22,轻小说,精灵掌门人,轻泉流响,14088
